BARCODE,AVAILABILITY,LOCATION,LOCATION 2,FRAME NO.,PKEY,MANUFACTURER,MODEL,SIZE,F COLOUR,F GROUP,SUPPLIER,DISPLAY STOCK,QUANTITY,F TYPE,SUPBARCODE,ISTOCKCODE,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,REORDATE,REORDER,REORDER QTY,RRP,EXLISTPR,LIST PRICE,EXCOSTPR,COST PRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,EXDPRECOST,DPRECOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTY ON ORDER,QTY ON APPRO,RELEASE,AVAIL FROM,AVAIL TILL,FRANGE,SRV CHARGE,EXLIST SRV,LIST SRV,EXRRP SRV,RRP SRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PS CREATED,PS UPDATE AT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUP STATUS,LLAB ORDER,LDOWNLOAD,UUID,NOTE,PHOTO,BARCODE_CLEAN
10592,,OPT,,ORO000471,198112,OROTON,PENELOPE,52-22,2456435,F,ORO,,1,LS,,,140.0,37,53.0,,,/  /,0.0,0.0,269,122.27,134.5,85.59,94.15,85.59,94.15,85.59,94.15,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,30.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10592.0
10593,,OPT,,ORO000472,198113,Le Specs,WORK IT,53-21,2102371,,ORO,,1,LS,,,150.0,34,54.0,,,/  /,0.0,0.0,69,31.36,34.5,18.82,20.7,18.82,20.7,18.82,20.7,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,40.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10593.0
10594,,OPT,,ORO000473,198114,Le Specs,SHEBANG,52-16,2352174,,ORO,,1,LS,,,140.0,34,52.0,,,/  /,0.0,0.0,79,35.91,39.5,21.55,23.71,21.55,23.71,21.55,23.71,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,39.97,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10594.0
10595,,OPT,,ORO000474,198115,Le Specs,SOMETHING,53-20,2202559,,ORO,,1,LS,,,145.0,37,53.0,,,/  /,0.0,0.0,79,35.91,39.5,21.56,23.72,21.56,23.72,21.56,23.72,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,39.95,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10595.0
10596,,OPT,,ORO000475,198116,Le Specs,NOUVEAU,50-22,2452433,,ORO,,1,LS,,,140.0,38,52.0,,,/  /,0.0,0.0,80,36.36,40.0,21.82,24.0,21.82,24.0,21.82,24.0,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,40.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10596.0
10597,,OPT,,ORO000476,198117,Le Specs,TRAGIC MAGIC,56-14,2202448,,ORO,,1,LS,,,145.0,48,63.0,,,/  /,0.0,0.0,69,31.36,34.5,18.82,20.7,18.82,20.7,18.82,20.7,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,40.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10597.0
10598,,OPT,,ORO000477,198118,Le Specs,SPEED OF NIGHT,51-19,2452317,,ORO,,1,LS,,,145.0,44,52.0,,,/  /,0.0,0.0,80,36.36,40.0,21.82,24.0,21.82,24.0,21.82,24.0,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,40.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10598.0
10599,,OPT,,RIM000274,198121,SENSES,OLLIE,48-17,C4,F,RIM,,1,LS,,,135.0,38,48.0,,,/  /,0.0,0.0,169,35.0,38.5,35.0,38.5,35.0,38.5,35.0,38.5,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45600.0,45642.0,/  /,0.0,,,0.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10599.0
10600,,OPT,,RIM000275,198122,EVATIK,92787,59-16,M300,F,RIM,,1,MS,,,150.0,,,,,/  /,0.0,0.0,280,105.45,116.0,73.82,81.2,73.82,81.2,73.82,81.2,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45600.0,45600.0,/  /,0.0,,,30.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10600.0
10610,,OPT,,AVI000126,198132,Nano,QUEST 3.0,52-16,3160152,F,AVI,,1,BS,,,143.0,40,53.0,,,/  /,0.0,0.0,169,60.0,66.0,60.0,66.0,60.0,66.0,60.0,66.0,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45607.0,45607.0,/  /,0.0,,,0.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10610.0
10611,,OPT,,MAU000172,198133,Maui Jim,KEHA,62-15,B664-02,S,MAU,,1,LS,,,130.0,42,68.0,,,/  /,0.0,0.0,399,181.0,199.1,226.03,248.63,226.03,248.63,226.03,248.63,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45607.0,45607.0,/  /,0.0,,9113045822.0,-24.88,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10611.0
10612,,OPT,,MAU000173,198134,Maui Jim,PAULELE,57-19,660-02,S,MAU,,1,LS,,,145.0,47,60.0,,,/  /,0.0,0.0,359,163.0,179.3,163.0,179.3,163.0,179.3,163.0,179.3,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45607.0,45607.0,/  /,0.0,,9113045822.0,0.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10612.0
10613,,OPT,,MAU000174,198135,Maui Jim,MAOLI,52-19,H668-10,S,MAU,,1,LS,,,145.0,44,52.0,,,/  /,0.0,0.0,259,118.0,129.8,118.0,129.8,118.0,129.8,118.0,129.8,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45607.0,45607.0,/  /,0.0,,9113045822.0,0.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10613.0
10614,,OPT,,MAU000175,198136,Maui Jim,KIOPAA,54-19,R671-09,S,MAU,,1,LS,,,140.0,43,56.0,,,/  /,0.0,0.0,389,177.0,194.7,177.0,194.7,177.0,194.7,177.0,194.7,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45607.0,45607.0,/  /,0.0,,9113045822.0,0.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10614.0
